binary_acc,loss,val_binary_acc,val_loss,epoch
0.5635416507720947,0.6935980916023254,0.5150721073150635,0.6931062340736389,0
0.5957291722297668,0.6680619120597839,0.5093927383422852,0.7071672677993774,1
0.6123958230018616,0.6540634632110596,0.49584972858428955,0.7148250937461853,2
0.6193749904632568,0.646748960018158,0.5168195962905884,0.7154096364974976,3
0.6225000023841858,0.6448951959609985,0.5762341618537903,0.6880249977111816,4
0.6277083158493042,0.6390047073364258,0.5727391839027405,0.6923075914382935,5
0.6318749785423279,0.6315690875053406,0.5578855276107788,0.7781315445899963,6
0.6498958468437195,0.6218887567520142,0.5605067610740662,0.7148180603981018,7
0.6532291769981384,0.6126794815063477,0.5342944264411926,1.0802549123764038,8
0.6620833277702332,0.6075798273086548,0.5727391839027405,0.925483763217926,9
